date,price
2022-11-04,8.57617328856474e-10
2022-11-05,9.683297319397478e-10
2022-11-06,9.815655536921986e-10
2022-11-07,9.466595178058822e-10
2022-11-08,9.351295630978054e-10
2022-11-09,8.345840652812542e-10
2022-11-10,6.860840332478339e-10
2022-11-11,8.235355723903162e-10
2022-11-12,8.183775640056342e-10
2022-11-13,8.275081020453266e-10
2022-11-14,8.224718455173851e-10
2022-11-15,7.838715153905976e-10
2022-11-16,7.6107124268974e-10
2022-11-17,7.33627264133095e-10
2022-11-18,7.099443179684508e-10
2022-11-19,7.213234850918111e-10
2022-11-20,7.387053527341328e-10
2022-11-21,7.182522199146065e-10
2022-11-22,7.185999807213218e-10
2022-11-23,7.382530587041885e-10
2022-11-24,7.862555773411284e-10
2022-11-25,7.785840386329359e-10
2022-11-26,7.764634837391633e-10
2022-11-27,8.192137679218784e-10
2022-11-28,7.596711462022846e-10
2022-11-29,7.637915558899695e-10
2022-11-30,7.426248078547932e-10
2022-12-01,7.580864079122148e-10
2022-12-02,7.228267463269523e-10
2022-12-03,7.081392533442242e-10
2022-12-04,7.07259701099315e-10
2022-12-05,7.085919492517585e-10
2022-12-06,6.986371138206377e-10
2022-12-07,7.244065514415941e-10
2022-12-08,7.723301758090453e-10
2022-12-09,8.185238391445681e-10
2022-12-10,7.903340634778532e-10
2022-12-11,7.710674628558926e-10
2022-12-12,7.640777685612379e-10
2022-12-13,7.288691865257573e-10
2022-12-14,7.078537457531388e-10
2022-12-15,6.884570834344323e-10
2022-12-16,6.693711474263913e-10
2022-12-17,5.872699588802813e-10
2022-12-18,6.231370773236027e-10
2022-12-19,6.336661053391697e-10
2022-12-20,6.296269150228076e-10
2022-12-21,6.66205733032915e-10
2022-12-22,6.40071701995585e-10
2022-12-23,6.339866145857135e-10
2022-12-24,6.232240545108994e-10
2022-12-25,6.152666328370658e-10
2022-12-26,6.150286688556053e-10
2022-12-27,6.293037737404041e-10
2022-12-28,6.276413009255808e-10
2022-12-29,6.250771465349263e-10
2022-12-30,6.282001762724376e-10
2022-12-31,6.111732488747737e-10
2023-01-01,6.113924424025211e-10
2023-01-02,6.024710717520035e-10
2023-01-03,6.395577708974006e-10
2023-01-04,6.183205987431256e-10
2023-01-05,6.489843027665102e-10
2023-01-06,4.259522772617588e-10
2023-01-07,3.036608873480666e-10
2023-01-08,9.127727036370473e-10
2023-01-09,8.332749710637893e-10
2023-01-10,7.002762709099231e-10
2023-01-11,7.017492986402807e-10
2023-01-12,7.019735805626729e-10
2023-01-13,1.1429887531412084
2023-01-14,1.2800768619568506
2023-01-15,1.3642258269530747
2023-01-16,1.5779064441302109
2023-01-17,1.4382127770756274
2023-01-18,1.217944454176622
2023-01-19,1.1978591841327968
2023-01-20,1.0650216522480163
2023-01-21,1.12418533445264
2023-01-22,0.9819320653796593
2023-01-23,0.96438180421782
2023-01-24,0.9155671973780354
2023-01-25,0.857263125719666
2023-01-26,0.9218648558403751
2023-01-27,0.8902757563859758
2023-01-28,0.8898658527682299
2023-01-29,0.8681301530702246
2023-01-30,0.9031373556032085
2023-01-31,0.8691611326098279
2023-02-01,0.8597617864253856
2023-02-02,0.8998617451196171
2023-02-03,0.8864454625140299
2023-02-04,0.9178340903177179
2023-02-05,0.8866011196570174
2023-02-06,0.8184281590600042
2023-02-07,0.794029973935484
2023-02-08,0.6985370193673591
2023-02-09,0.6827694085533483
2023-02-10,0.6862590893157399
2023-02-11,0.6894363064198767
2023-02-12,0.7009008938305327
2023-02-13,0.6623649040567688
2023-02-14,0.6516414817889801
2023-02-15,0.6635939445312504
2023-02-16,0.6896608811162644
2023-02-17,0.6720230485857326
2023-02-18,0.7479923354349173
2023-02-19,0.7899515170738226
2023-02-20,0.7552301040363875
2023-02-21,0.757147138812862
2023-02-22,0.7284928521555264
2023-02-23,0.7164492575424217
2023-02-24,0.7259446932970077
2023-02-25,0.7088895117473343
2023-02-26,0.7078655237814365
2023-02-27,0.7331056077254374
2023-02-28,0.7047940699201729
2023-03-01,0.6792291303642733
2023-03-02,0.6877323349230203
2023-03-03,0.6873597986695931
2023-03-04,0.6711498111086502
2023-03-05,0.7028386394434167
2023-03-06,0.6747492918341349
2023-03-07,0.675890926129269
2023-03-08,0.6826755658415932
2023-03-09,0.7131943907162431
2023-03-10,0.6919032495591653
2023-03-11,0.695981992427801
2023-03-12,0.6580126205268978
2023-03-13,0.6742178791682231
2023-03-14,0.7110568962088688
2023-03-15,0.7195470229319222
2023-03-16,0.7111733830985343
2023-03-17,0.7153441889070626
2023-03-18,0.7171036521708051
2023-03-19,0.6975654617145679
2023-03-20,0.702174868619315
2023-03-21,0.6980863124339878
2023-03-22,0.7099185247229676
2023-03-23,0.6934454822934015
2023-03-24,0.6993859581584845
2023-03-25,0.6863479470404064
2023-03-26,0.6764639767455961
2023-03-27,0.673121034847107
2023-03-28,0.6552613251545785
2023-03-29,0.6400805531722819
2023-03-30,0.649985196720965
2023-03-31,0.6536194551060047
2023-04-01,0.6380665992422536
2023-04-02,0.6709020290125833
2023-04-03,0.6673063658068543
2023-04-04,0.6642297535460202
2023-04-05,0.6607393887519097
2023-04-06,0.675611466473855
2023-04-07,0.6758380623005573
2023-04-08,0.7757006519259387
2023-04-09,0.8743949320448673
2023-04-10,0.9134990494003614
2023-04-11,0.911263172705854
2023-04-12,0.8849144606027247
2023-04-13,0.8159579678395039
2023-04-14,0.7625237561916641
2023-04-15,0.7564715304430274
2023-04-16,0.7402069724614805
2023-04-17,0.7356802499745785
2023-04-18,0.6966456023754517
2023-04-19,0.686193642779619
2023-04-20,0.634627498880299
2023-04-21,0.5865880522670194
2023-04-22,0.634771361903279
2023-04-23,0.6116686341685069
2023-04-24,0.5919562283512466
2023-04-25,0.5565523593764968
2023-04-26,0.5214292395691543
2023-04-27,0.4810077678518187
2023-04-28,0.46238483302746114
2023-04-29,0.517059339230748
2023-04-30,0.5133087146689461
2023-05-01,0.4553417767134262
2023-05-02,0.41813441300159526
2023-05-03,0.38164868892524
2023-05-04,0.3854698145795562
2023-05-05,0.36199570479671994
2023-05-06,0.33745860839896225
2023-05-07,0.3654606278807384
2023-05-08,0.35451072185872673
2023-05-09,0.3804447228392654
2023-05-10,0.40277258367233226
2023-05-11,0.4158203361351134
2023-05-12,0.39565082464322654
2023-05-13,0.39618997931858163
2023-05-14,0.39159037262918756
2023-05-15,0.39023218649451985
2023-05-16,0.36666668562657884
2023-05-17,0.3690349618943055
2023-05-18,0.3637678163446594
2023-05-19,0.358731123742847
2023-05-20,0.34625132427929683
2023-05-21,0.35280694148764596
2023-05-22,0.33895761541304853
2023-05-23,0.317260264435482
2023-05-24,0.3234416073292697
2023-05-25,0.3145349982281675
2023-05-26,0.3004913894630574
2023-05-27,0.31248402429840494
2023-05-28,0.31631176859379484
2023-05-29,0.33064348962494083
2023-05-30,0.34130594999018354
2023-05-31,0.3448992202087183
2023-06-01,0.31755775635339345
2023-06-02,0.30059548132605396
2023-06-03,0.303401829691688
2023-06-04,0.29826724969644847
2023-06-05,0.2968673180843937
2023-06-06,0.27620522627352784
2023-06-07,0.2793931768594718
2023-06-08,0.26439660480413146
2023-06-09,0.27181234724074854
2023-06-10,0.2490768023463067
2023-06-11,0.2329406126091679
2023-06-12,0.23413098155222653
2023-06-13,0.2328662686065638
2023-06-14,0.24032453278939334
2023-06-15,0.24557853477727887
2023-06-16,0.2416925374584583
2023-06-17,0.25721903170368265
2023-06-18,0.25967368614692155
2023-06-19,0.26263650301386027
2023-06-20,0.2648664046700936
2023-06-21,0.2759044989173559
2023-06-22,0.2971175460380414
2023-06-23,0.23566796900458092
2023-06-24,0.2485521879070067
2023-06-25,0.2388248840080178
2023-06-26,0.2423355200062377
2023-06-27,0.23805421832239312
2023-06-28,0.23786127161504117
2023-06-29,0.2323048504704261
2023-06-30,0.24084233488022344
2023-07-01,0.25961433205214113
2023-07-02,0.2652799862730332
2023-07-03,0.25697257527410905
2023-07-04,0.25504609589289906
2023-07-05,0.24899872812913568
2023-07-06,0.2478464993853424
2023-07-07,0.2415804454428999
2023-07-08,0.2353048602578325
2023-07-09,0.24172471694596873
2023-07-10,0.21956906917708
2023-07-11,0.2359316516211272
2023-07-12,0.21599840513263122
2023-07-13,0.2159608515590927
2023-07-14,0.2186664357461647
2023-07-15,0.2087123528510632
2023-07-16,0.2255332962235281
2023-07-17,0.23073044715751057
2023-07-18,0.22946228367587013
2023-07-19,0.2210003432860357
2023-07-20,0.21963555358322617
2023-07-21,0.2212107613842022
2023-07-22,0.22361447968588796
2023-07-23,0.21550791663562005
2023-07-24,0.2191108437858868
2023-07-25,0.21187572055206852
2023-07-26,0.220529198885838
2023-07-27,0.22307586611942712
2023-07-28,0.21092822030379751
2023-07-29,0.21477294893447627
2023-07-30,0.21830001525367354
2023-07-31,0.21624142245977226
2023-08-01,0.19340254284783953
2023-08-02,0.2005891477942094
2023-08-03,0.19354707389887957
2023-08-04,0.19338488247939217
2023-08-05,0.1967908982756488
2023-08-06,0.19283223691527557
2023-08-07,0.1938961415008805
2023-08-08,0.19464537022738465
2023-08-09,0.2126812018684159
2023-08-10,0.20549333906578074
2023-08-11,0.18742753079735164
2023-08-12,0.18977538204185537
